PLAYER_CODE,PLAYER_NAME,TOTAL_PENALTIES,AVERAGE_OVERALL_RATING
23334,Jody Craddock,729,69.0
23335,Jackie McNamara,380,66.2
23349,Clarke Carlisle,625,67.3333333333333
23352,Marlon King,1481,73.0
23354,Ashley Young,1922,80.5
23355,Hameur Bouazza,1099,68.2777777777778
23358,Adrian Mariappa,1167,70.1481481481482
23369,Andy Wilkinson,1160,69.6153846153846
23370,Martin Paterson,1656,65.4615384615385
23371,Carl Dickinson,888,62.6451612903226
23377,Garry Monk,691,67.0
23412,Lewis Guy,586,58.8333333333333
23415,Paul Heffernan,1120,65.1176470588235
23425,Greg Halford,2696,66.1428571428571
23426,Wayne Brown,501,66.375
23431,Chris Iwelumo,1691,65.7391304347826
23435,George Elokobi,1234,65.7586206896552
23438,Richard Garcia,1280,64.2083333333333
23445,Steve Banks,390,61.3636363636364
23446,Jack Ross,265,65.0
23453,Paul Rachubka,818,62.0416666666667
23463,Pawel Abbott,654,61.7
23464,Gary Taylor-Fletcher,1236,67.5
23499,Aaron Wilbraham,1462,61.7727272727273
23507,Michael Nelson,749,61.5263157894737
23512,Jon Daly,1708,65.7083333333333
23528,Andrew Crofts,1792,66.7857142857143
23538,Matt Jarvis,1803,72.7241379310345
23563,Caleb Folan,664,66.3076923076923
23571,Wes Morgan,581,70.6956521739131
23574,Kris Commons,2561,73.1818181818182
23575,Scott Dobie,367,60.1111111111111
23579,James Perch,1493,68.0
23587,Felix Bastians,2091,68.5277777777778
23593,Bradley Orr,1128,65.2
23605,Dean Windass,400,64.0
23628,Pierre Wome,252,74.0
23629,Andrew Surman,1475,68.7142857142857
23660,Jim Goodwin,1117,62.0434782608696
23675,Marcio Mossoro,1691,75.1153846153846
23678,Alex Song,1305,79.35
23686,Manuel Almunia,361,74.8333333333333
23688,Mathieu Flamini,2246,77.2777777777778
23692,Calvin Zola Makongo,1230,60.2857142857143
23697,Carl Tremarco,593,55.0
23720,William Haining,423,57.9166666666667
23724,Chris Killen,841,68.3846153846154
23727,Marc Tierney,715,64.1333333333333
23728,Chris Porter,1762,63.9230769230769
23729,Chris Swailes,136,60.0
23732,Matthew Connolly,628,66.7368421052632
23736,Keith Southern,1040,64.7
23740,Scott Vernon,1361,61.8
23755,Joe Cardle,348,60.0
23760,David Bentley,1086,76.8666666666667
23765,Patrick Cregg,859,60.9655172413793
23772,Graham Stack,446,60.6666666666667
23779,Quincy Owusu-Abeyie,1230,71.0
23780,Aaron Hughes,1324,73.24
23781,Eric Djemba-Djemba,465,71.5555555555556
23782,Gareth Barry,2152,80.6296296296296
23783,Gary Cahill,1502,78.6785714285714
23784,Gavin McCann,366,73.2
23785,Jlloyd Samuel,400,70.1428571428571
23787,Liam Ridgewell,1903,70.6
23788,Luke Moore,1564,69.0416666666667
